hashtag,tweets,main tweet
#SHMS,"[('stephenasmith FINALLY apologized to IAmSteveHarvey about doubting the CAVS in the NBAfinals SHMS.', 752842302691897345), ('01021543560 01021543560 01021543560 SHMS.', 752843154433245186), ('NEW 220 FOLLOWERS SouthChinaSea 9newsmornings SHMS SNAPCHATAGGIETRAIN CowAppreciationDay PrivacyShield charitytuesday Jamie Dimon.', 752850541714157568), ('Today s StrawberryLetter is a fishy one sorry Vivian but mygirlshirley and IAmSteveHarvey think he cheating SHMS.', 752850605375447040), ('SHMS LipsbyCarla IAmSteveHarvey nephewtommy lol poor Vivian Herman ain t no good Y all two some fools I love every m.', 752850916567547905), ('Today s StrawberryLetter My talking may be ruining my marriage What do you think SHMS IAmSteveHarvey https.', 752846176521691137), ('SHMS LipsbyCarla IAmSteveHarvey nephewtommy lol poor Vivian Herman ain t no good Y all two some fools I love every min.', 752842350272077824), ('IAmSteveHarvey mygirlshirley nephewtommy LipsbyCarla stephenasmith Where s my apologize at Mr First Take Love the morning show SHMS.', 752835119765872640), ('mygirlshirley Lady writes please be straight w me IAmSteveHarvey says time for a reenactment Lol SHMS StrawberryLetter.', 752841239117045761)]","[('HermanClarence ROFL SL23 nephewtommy LipsbyCarla Unc IAmSteveHarvey SHMS.', 752838664795938816)]"
#RichHomieKaraoke,"[('It was all a dream I used to read Word Up magazine Salt n Pepa and vinegar on all my honey wings RichHomieKaraoke.', 752852286079139840), ('I love it when u call me Chewbacca RichHomieKaraoke.', 752852250645688320), ('Don t go Jason Waterfalls RichHomieKaraoke.', 752852202511826945), ('Straight outta Compton A crazy motherfucker named nice dude RichHomieKaraoke.', 752852170513457152), ('I had dream there are words in magazines RichHomieKaraoke.', 752852095909244928), ('I Got broads in Alabama twisting soap lean with my Grandma RichHomieKaraoke.', 752852299345690624), ('I cannot I love it when u call me Chewbacca RichHomieKaraoke.', 752852244698202112), ('RT ThreeStacks Girl you look good go on and pack that bag lunch You s a fine motherfucka when you pack that bag lunch RichHomieKar.', 752852095909363712), ('Poppa been smooth spent days with kangaroos no shoes never choose to blues clues who RichHomieKaraoke.', 752851333976293380)]","[('It was all a dream I used to read words off magazines RichHomieKaraoke.', 752852288591495168)]"
#CowAppreciationDay,"[('CowAppreciationDay it s udderly fabulous RealWomen RealBodies.', 752851676114014208), ('cows amp cows amp cows via YouTube CowAppreciationDay.', 752851706011148288), ('7 12N PecanPieDay CowAppreciationDay EtchASketchDay DifferentColoredEyesDay SimplicityDay NightOfNights HenryDa.', 752851140220289024), ('RETWEET amp Remember Today Is CowAppreciationDay Wear Anything Cow Like For a FREE Entree Today ChickfilA.', 752851611026722816), ('Eat free at ChickfilA until 7pm today if you dress up like a cow moo CowAppreciationDay htt.', 752851649060827137), ('It s CowAppreciationDay Come see us in CINO Grille today dressed like a cow for FREE chicken CCU20.', 752851617012154370), ('TODAY is CowAppreciationDay Wear anything cow like from open to 7PM amp get a free entree CFATuskawilla OviedoFL.', 752851351256858624), ('so it s CowAppreciationDay meaning if u want free Chick fil A badly enough just dress like a cow.', 752851814656184320), ('Ready to party CowAppreciationDay is here Dress up to get a free Entre until 7 00 PM.', 752851610368442368)]","[('Because it s CowAppreciationDay and I m obsessed with Friends MooPoint.', 752851702253051904)]"
#TravelTuesday,"[('TravelQuote TravelTuesday TuesdayMotivation SummerTravel TravelPlan Travelling HappyTravelling.', 752851801695723520), ('Why You Should Follow SmarterTravel on Instagram SmarterTravel traveltuesday instagram.', 752852016137904128), ('11 Times U S National Parks Inspired Us TravelTuesday FindYourPark.', 752851980259827712), ('SOS Tips and tricks the cheapest way to get travel money TravelTuesday.', 752851952380239874), ('TravelTuesday life is a journey not a destination setcarrailway Great British journey on.', 752852087134949376), ('Tips and tricks the cheapest way to get travel money TravelTuesday.', 752851861057568768), ('Going to NZ is the big one the ultimate Join the LionsNZ2017 journey TravelTuesday.', 752851740249067520), ('13 Favorite Travel Novels to Escape With This Summer TravelTuesday.', 752852085893435394), ('Going to NZ is the big one the ultimate Join the LionsNZ2017 journey TravelTuesday htt.', 752852013516554240)]","[('Backpacking Tips For TravelTuesday.', 752852009909415937)]"
