hashtag,tweets,main tweet
Terry Crews,"[('Terry Crews proving that steroids don t help in baseball at fucking all.', 752733655634579457), ('Terry Crews swing grade F.', 752730444513185792), ('Terry Crews is a little swole MLBHomeRunDerby.', 752731579407929344), ('Am I the only one that didn t know Terry Crews played in the NFL.', 752732428670636032), ('terrycrews Put Terry Crews shirtless in a room with Putin and Kim Jong Un peace will be hashed out.', 752734454645297153), ('Terry Crews did this and then immediately struck out on 3 pitches.', 752731963727851521), ('terrycrews I think I ll have a question in mind when I think about that kinda thing What would Terry Crews do.', 752733351832793088), ('Almighty 22 terry crews might land a jab or two but the rock not human.', 752730936970735616), ('Its JustChaz lmao I love Terry Crews My brother met him at The late late show with James Cordon lol.', 752734554897600513)]","[('Terry Crews has nice tits.', 752730837062262786)]"
Vince,"[('Per me questa vince tutto matteorenzi D.', 752734723080916992), ('bakit si vince yung naaalala ko sakanya mehhh.', 752734000943292416), ('moin ihr lieben o iZerf Keksreicher muddywaterblues wasprenate helli1a kami59282 postraeuber1822.', 752734409695096832), ('HILLARY CLINTON SCANDALS WATERGATE WHITEWATER VINCE FOSTER TRAVELGATE CHINAGATE SENATE CAMPAIGN DONATIONS.', 752734169352908800), ('VIP AUDIO 7 11 WKH WWE Raw Vince McMahon announces who will run Raw and Smackdown Wyatts New Day compound fi.', 752733993796247552), ('uscpsycho was at 3rd amp Lindley tonight n Nashville and Vince Gill was surprise performer with Time Jumpers BigThumbsUp.', 752734466989232132), ('Quentin Tarantino has said that Mr Blonde from Reservoir Dogs and Vince from Pulp Fiction are brothers.', 752734366971924480), ('Fightful Podcast 7 11 Full Raw Show Review Battle Royal Vince McMahon Returns UFC Sale Lesnar.', 752734306120896512), ('Life s battles don t always go to the stronger or faster man Sooner or later the man who wins is the man who thinks he can.', 752734199677804544)]","[('Thank you Vince Bagby amp KECI.', 752734115045056512)]"
#ShawnOnFallon,"[('ShawnOnFallon you were amazing.', 752734495342620674), ('you killed it i am so proud omfg shawnonfallon.', 752734541534535680), ('2 164 HipHopHonors HRDerby TheBachelorette LHHATL ShawnOnFallon IfSelfiesNeverExisted RXaFilm RHOC.', 752733484574060544), ('Shawn performing on Jimmy Fallon tonight ShawnMendes jimmyfallon ShawnOnFallon.', 752733842302070784), ('Shawn on the Jimmy Fallon show tonight ShawnOnFallon ShawnMendes jimmyfallon.', 752733589993775104), ('Shawn performing Treat You Better on the Tonight show ShawnOnFallon.', 752733221956136960), ('ShawnOnFallon Shawn is too awesome ShawnMendes.', 752733552995741697), ('ShawnOnFallon YASSSS Shawn killed it ShawnMendes.', 752732845659918340), ('ShawnOnFallon I hope there will be a Shawn on Ellen soon ShawnMendes TheEllenShow FallonTonight.', 752732831059546113)]","[('ShawnMendes you killed it ShawnOnFallon.', 752732492218535936)]"
Keyshia Cole,"[('Keyshia Cole Missy has produced songs for legends like me Me.', 752734325611831296), ('Keyshia Cole missy has produced records for legends like me The world.', 752734499067162624), ('Y all hate confidence so much Keyshia Cole is a legend.', 752734149769764864), ('Keyshia Cole is an R amp B legend for Love and Heaven Sent alone idc.', 752734050348101633), ('When I saw Keyshia Cole trending.', 752734305869193224), ('Keyshia Cole really is an R amp B Legend She had classic hits and albums.', 752734151044915200), ('Album Stream Keyshia Cole Point of No Return.', 752734363343880192), ('RT trellmixx As much as people shade Keyshia Cole amp Ashanti they have been VERY successful musically amp they don t work regular jobs like.', 752734292715896832), ('Fuck keyshia cole can pull off anything.', 752734353927528449)]","[('Keyshia Cole looking like a goddess HipHopHonors.', 752734509632724992)]"
#IShouldEatMoreFruit,"[('IShouldEatMoreFruit grabs more Starburst.', 752733515012198400), ('IShouldEatMoreFruit Loops because apparently Trix is for kids.', 752734890962157569), ('01021543560 01021543560 01021543560 01021543560 01021543560 IShouldEatMoreFruit.', 752733786341711872), ('IShouldEatMoreFruit covered in chocolate.', 752734382805225472), ('IShouldEatMoreFruit Because I like fruit.', 752733262418735104), ('Hydration is another benefit to plenty of fruit in your diet IShouldEatMoreFruit.', 752734205210075136), ('IShouldEatMoreFruit BUT CHOCOLATE IS BAE.', 752733600374595584), ('IShouldEatMoreFruit and drink less coffee But coffee is sooooo good.', 752733641956945924), ('IShouldEatMoreFruit Those orange fruit chews with sugar Yum There.', 752733680645337088)]","[('IShouldEatMoreFruit s and more veggies.', 752734646547337216)]"
Diddy,"[('Diddy s girls at vh1 HipHopHonors alongside momma Combs.', 752734165041160192), ('Should have known Diddy was gone Come out with lil kim HipHopHonors.', 752733940507512832), ('Diddy amp his girls Puffy PuffDaddy SeanCombs.', 752734380121067521), ('People mad at Russell love Diddy meanwhile he did the same thing Allowed someone else s son to know what unconditional love is.', 752734130501132288), ('Diddy that s enough.', 752734008568532992), ('youngsinick So nobody is going to pick up the damn wig lying on stage next to diddy.', 752734037572136960), ('OMG I love P Diddy.', 752734207454027776), ('Anyone else see that wig behind P Diddy HipHopHonors.', 752733887856451584), ('Diddy still show love like a real one.', 752734215297376256)]","[('There s just something about Diddy.', 752734130417250304)]"
Keke Palmer,"[('Keke Palmer was killing the game HipHopHonors.', 752732478792622080), ('KEKE PALMER TAVA LINDA.', 752732304431194113), ('Teyana Taylor and Keke Palmer killed it.', 752732712356548610), ('Teyana Taylor and Keke Palmer slayed me.', 752732257899646976), ('RT imkarla Now this the Keke Palmer Ik.', 752732331429863424), ('Keke Palmer is always pregnant in every movie.', 752734095604641792), ('Keke Palmer tweaked ouuuuuttt bro wtf.', 752734161467740160), ('how did keke palmer come from this to morphing into quavo from the migos.', 752734220057927681)]","[('KeKe Palmer LIT HipHopHonors.', 752732775510192128)]"
#IfSelfiesNeverExisted,"[('IfSelfiesNeverExisted social media would be used allot less.', 752734613479550976), ('IfSelfiesNeverExisted I d probably be more confident.', 752734446902714369), ('IfSelfiesNeverExisted than Instagram never existed.', 752734633842843649), ('IfSelfiesNeverExisted KimKardashian wudnt have been famous.', 752733971788759040), ('IfSelfiesNeverExisted should have never been a hashtag It s ludicrous Long live selfies.', 752733985583669248), ('IfSelfiesNeverExisted We d never have pics of Barry with other foreign leaders.', 752734674661699584), ('IfSelfiesNeverExisted the world would be a better place.', 752734329969795072), ('IfSelfiesNeverExisted a photo of yourself would still be called a self portrait and language wouldn t have to cry its.', 752734803275886592), ('IfSelfiesNeverExisted I would be dead.', 752734003707252736)]","[('IfSelfiesNeverExisted neither would have the Kardashians.', 752734761005703168)]"
Trumbo,"[('Trumbo just hit the scoreboard Trumbo HRDerby.', 752734236608573440), ('orioles baltimore baltimoreorioles Mark Trumbo hits scoreboard in HR Derby.', 752732243152531456), ('Mark Trumbo advances to second round of Home Run Derby School of Roch.', 752734516658200577), ('Mark Trumbo After 1st Round Timeout 8 HR 8 Swings 66 seconds 3 558 feet 0 67 miles 445 feet per home run.', 752733408665726976), ('Total HR feet by player Stanton 27187ft Frazier 17269ft Trumbo 10820ft Duvall 10233ft Seager 6091ft CarGo 5167ft Myers 4051ft.', 752734611323617280), ('Why did they let Trumbo hit with an aluminum bat HRDerby.', 752733631475363840), ('coreyseager 5 finds his rhythm and crushes 15 HR in his Round 1 matchup with Mark Trumbo TMobile HRDerby.', 752730855835967488), ('Roundup Who will win this first round matchup in the HR derby RT for Mark Trumbo FAV for Corey Seager.', 752730990532067328), ('baltimoreorioles orioles baltimore Trumbo smashes 16 in the first round of HR Derby.', 752730633349304321)]","[('Mark Trumbo s 16 HR are more than any player hit in any round last year.', 752734316682047488)]"
#Manhattanhenge,"[('Another view of Manhattanhenge tonight in NYC Thanks to maximusupinNYc for sharing.', 752734390724296704), ('Nice Manhattanhenge shot tonight via claracampo.', 752734739807612928), ('Great shot of Manhattanhenge by maximusupinNYc.', 752734596735889408), ('Tomorrow is Manhattanhenge where sunset aligns with Manhattan s east west numbered streets.', 752734840164913152), ('bennett NYC don t ever change Manhattanhenge.', 752734286680236033), ('kennethcole At 8 20 thousands of NY ers will finally see the light Manhattanhenge NYC sunset.', 752734692940587008), ('Quick timelapse of people photographing Manhattanhenge.', 752734787710902272), ('Gorgeous Sunset in New York City Manhattanhenge.', 752733992324067328), ('Looks like New York was treated with a beauty tonight Manhattanhenge.', 752733820084887552)]","[('Manhattanhenge is tonight What is Manhattanhenge.', 752734593019580416)]"
Get Money,"[('Idk why when people get their nails done they get them short like why spend all that money might as well just paint them yourself lmao.', 752734476057210880), ('I liked a YouTube video from endinggamertag GTA 5 MONEY HOW TO MAKE 50000 IN 1 MINUTE GET MAKE MONEY.', 752734127980310529), ('I gotta get my money right.', 752734251016216576), ('Fuck bitches get money.', 752734461574471681), ('Be what you wanna be as long as you get your money right.', 752734153657888775), ('Biggie Looking Down Seeing Rich Homie Quan Rap His Get Money Verse Like.', 752734179326996480), ('b not spending no more money into I get what I need.', 752734468528484353), ('Rule 1 get the money first.', 752734509863428096), ('idk how people have time for all this fun stuff in the summer where r ur responsibilities how do u get money do u n.', 752734411100196865)]","[('I Get Money And Get Over Hoes.', 752734549403062272)]"
#12Monkeys,"[('You are kidding 12Monkeys.', 752734818488639488), ('Cassie and Cole are holding out for Ramse Ramse gave up on Cole 12monkeys.', 752734987485458432), ('Or was pushed off 12Monkeys.', 752734976261492738), ('Cole and Cassie OMFG Finally 12Monkeys.', 752734088302325760), ('btrwkart cabinboy100 kiddle 12monkeys theorytradingcard.', 752734181910687744), ('The Witness is Robert Downey Jr in a 17th Century plague mask 12Monkeys.', 752734944472895488), ('Night night Sleep tight Don t let the witness bite Thank you for keeping me company tonight 12Monkeys.', 752734489189552132), ('12Monkeys Who is the witness.', 752734611252346880), ('All of that and much more 12Monkeys.', 752734961149489152)]","[('We re on 12Monkeys.', 752734147173552128)]"
#HRDerby,"[('OMGiancarlo HRDerby ASG BaseballisFun.', 752734213070135296), ('That was an epic TMobile HRDerby Next up ASG presented by MasterCard.', 752734261623463936), ('The one you ll see in highlight reels every year 497 feet TMobile HRDerby.', 752734430171504640), ('It s Giancarlo818 s world HRDerby.', 752734274747453440), ('Giancarlo818 See this bad boy That s why I came here and I m taking it with me HRDerby.', 752734418100510720), ('In the year we lost Muhammad Ali down goes Frazier Chris Berman in worst line of year mlb hrderby.', 752734395749064704), ('Time for round 1 with Giancarlo818 HRDerby.', 752734323002912768), ('Congrats to Giancarlo Stanton your 2016 HRDerby champion.', 752734246440095746), ('Giancarlo Stanton wins the 2016 HRDerby Budlight.', 752734432964988928)]","[('497 feet That is not a typo HRDerby.', 752734388547379201)]"
My Vocabulary Size,"[('My Vocabulary Size is about 22650 What about you NLN.', 752733923361300480), ('My Vocabulary Size is about 30150 What about you NLN.', 752734456209772544), ('My Vocabulary Size is about 30325 What about you NLN.', 752734160100421632), ('My Vocabulary Size is about 29450 What about you NLN.', 752734468201328641), ('My Vocabulary Size is about 22800 What about you NLN.', 752733981133508608), ('My Vocabulary Size is about 29800 What about you NLN.', 752734701270466561), ('My Vocabulary Size is about 22200 What about you NLN.', 752733900791615490), ('My Vocabulary Size is about 22950 What about you NLN.', 752734161375420417), ('My Vocabulary Size is about 23250 What about you NLN.', 752734526103748608)]","[('My Vocabulary Size is about 29625 What about you NLN.', 752733777378500608)]"
