hashtag,tweets,main tweet
#RXaFilm,"[('The Synthroid Wives RXaFilm.', 752743990680662016), ('Kramer cvs Kramer RXaFilm.', 752743447677763584), ('Might Morphine Power Rangers RXaFilm.', 752741042353344512), ('The Lidocaine Mutiny RXaFilm.', 752742683676991489), ('A Few Good Ambien RXaFilm.', 752741161631035394), ('Prozac to the Future RXaFilm.', 752740825289797632), ('Natural Born Pain Killers RXaFilm.', 752744283153641472), ('Little Morphine Annie RXaFilm.', 752742754619367424)]","[('Vaccines From a Mall RXaFilm.', 752744303588507648)]"
Fantasia,"[('Fantasia murkn this Free Yourself HipHopHonnors.', 752743914633850880), ('They be sleep on my girl Fantasia.', 752743993998450689), ('Listen to Free Yourself by Fantasia on AppleMusic.', 752743535011569665), ('Fantasia s voice is so damn unique.', 752743516422475776), ('Fantasia is so damn thick I m jealous.', 752743871902322688), ('Fantasia sing that shit bitch.', 752743523913437185), ('Sang fantasia Monica hiphophonors tweet.', 752743820157194240), ('tharealversace Fantasia is performing HipHopHonors.', 752743519077470208), ('Fantasia stay getting the holy ghost.', 752743529038770176)]","[('Fantasia x Free Yourself.', 752743645996937216)]"
#TheBachelorette,"[('even after being eliminated he s such a gentleman I LOVE YOU JAMES TAYLOR thebachelorette.', 752743821826412551), ('When Jordan said Jojo wasn t going to meet Aaron TheBachelorette.', 752743804055134208), ('And of course he leaves like a complete gentleman SO MUCH LOVE AND RESPECT FOR JAMES TAYLOR TheBachelorette.', 752743819867750400), ('elam Jojo is clearly only in love with Luke and Jordan TheBachelorette.', 752743728737951744), ('Aaron Rodgers watching this episode of TheBachelorette like.', 752743655467778048), ('Little bro Rodgers is throwing Aaron under the bus and all of Green Bay was like AW HELL NAW TheBachelorette.', 752743641831968768), ('When you tell a girl you re in love with her this IS what you want her reaction to be TheBachelorette.', 752743672450461696), ('When you find out Aaron Rodgers won t be coming to dinner TheBachelorette.', 752743723885326336), ('Reminder I didn t get the last group date rose And yet I m sitting next to the idiot three years later TheBachelorette.', 752743645078384640)]","[('Are Aaron and Jordan Rodgers to football what Lucas and Nathan Scott are to basketball TheBachelorette.', 752743740427481088)]"
#UnlikelyMedicalProcedures,"[('01021543560 01021543560 01021543560 UnlikelyMedicalProcedures.', 752741983710433280), ('PaulRyan Spine Implant UnlikelyMedicalProcedures.', 752743920845533184), ('Thought as a prerequisite to speech UnlikelyMedicalProcedures.', 752740916159545344), ('UnlikelyMedicalProcedures making america great again.', 752740795229298688), ('UnlikelyMedicalProcedures install a mute button.', 752740952192741377), ('Sack enlargement for risk management UnlikelyMedicalProcedures.', 752742276325969921), ('The mind your own fucking business nose reduction UnlikelyMedicalProcedures.', 752741459334295552)]","[('UnlikelyMedicalProcedures Eye Brow reduction.', 752743787542315008)]"
#pursuit,"[('PURSUIT Driver in custody after crash ends pursuit and driver falls out of vehicle.', 752734117851238400), ('South LA pursuit driver leads police on wild chase hitting car almost hitting cyclist.', 752743689366089728), ('LIVE A Silver SUV is being chased by police in Southern California Pursuit Chase.', 752731423870562304), ('PURSUIT Paramedics on scene to check out pursuit driver at Normandie Ave and W 94th St.', 752744057462480896), ('Thank fuck there is a car chase Normalcy Finally pursuit.', 752732983266676736), ('PURSUIT UPDATE Suspect is now in custody LIVE.', 752734091187982336), ('And that folks is why u don t eat Fast food before u lead the police on a car chase Pursuit Fail.', 752734263716438016), ('This pursuit LAPD staysafe.', 752739952547553284), ('PURSUIT LIVE Suspect now traveling on 110 Freeway in the northbound lanes.', 752735943694675968)]","[('PURSUIT UPDATE The pursuit has ended at 59th and Normandie LIVE.', 752734312638795776)]"
#UnREALtv,"[('Who is Quinn calling UnREALtv.', 752743514820128768), ('No cameras please UnREALtv.', 752743449393258496), ('Goldthe picklock that never fails UnREALtv.', 752744304402202624), ('Who banged the racist OMFG THIS SHOW HAS NO CHILL UnRealLifetime UnREALtv.', 752743401070612480), ('UnREALtv this show gives me so much anxiety You think that they can t top the craziness and they go x10 more I m so in love with it.', 752744051862974464), ('dazel1 UnREALtv this show gives me so much anxiety You think that they can t top the craziness and they go x10 more I m so.', 752744172650569728), ('When Darius finds out about Romeo I don t think the honesty is the best policy is going to work UnREALtv GetReal.', 752743310544953344), ('Hey Rach who banged the racist Omg I can t stop laughing UnREALtv.', 752743389750177792), ('bts Zach McGowan wouldn t normally take a small guest star role but he wanted to work with director amp friend ShiriAppleby UnREALtv.', 752743906702307328)]","[('Directed by ShiriAppleby UnREALtv.', 752743450131386369)]"
#LHHATL,"[('1 Can t see my girl go through this because of a break up LHHATL.', 752743859625472000), ('LMAO why Lyfe Jennings play Karlie Redd like that LHHATL.', 752743850783805440), ('Joseline was giving y all Whitney circa 1998 It s Not Right But It s Ok LHHATL.', 752743755485048832), ('For once D Smith was right about something LHHATL.', 752743830617624577), ('Jay Who would ve thought Joseline could get mind control over all of these girls LHHATL.', 752743807532331008), ('RT daddygwaupo HARDEST CURVE EVER WITNESSED BRUH LHHATL.', 752743845163569152), ('Joseline s plan is working on Mimi whether she wanna believe it or not LHHATL.', 752743766457548800), ('Mia Daily note to self LHHATL.', 752743819225931776), ('DatThangg I m dead Lyfe is the definition of WasteHerTime2k16 lhhatl.', 752743822090723328)]","[('HARDEST CURVE I HAVE EVER WITNESSED BRUH LHHATL.', 752743776125325312)]"
#RHOC,"[('HeatherDubrow is so beautiful it SICKENS me RHOC.', 752741968791363586), ('Andy BravoWWHL OddMomOut RHOC.', 752743802012446720), ('TeamVicki since 2006 vgunvalson forever RHOC OG Bravotv.', 752743443638603776), ('Of casseroles amp men Vicki and Tamra finally have a RHOC sit down.', 752743975283400704), ('rhoc bravoproducer Bravo RHOC sick of the Shannon Heather Tamara show on RHOC Think I ll be sitting this year out.', 752743688464429056), ('Vicki should probably be at home making Briana a casserole right now But she s on a beach Just saying RHOC.', 752741859407962112), ('Shannon can t call people victim cause she sure acted like one when he cheated I got so tired of listing to her about it RHOC.', 752743037533495296), ('szrhnd vgunvalson LizzieRovsek Wow you certainly no gentleman either saying that to a group of women No casserole for you sir rhoc.', 752742219510009856), ('RHOC Given the cast excluding Vicki and Shannon passing on this franchise mostly MKE Tam and HD n fast forwarding th.', 752743295705636865)]","[('Send casseroles to Vicky rhoc.', 752743934250487808)]"
Kelly Rowland,"[('Kelly Rowland is perfection.', 752739133676716032), ('Yasssssssss Kelly Rowland is my baby.', 752740555818356736), ('Kelly Rowland So Damn Fine.', 752739383976034304), ('np Down On Love Kelly Rowland.', 752740123008180224), ('Kelly Rowland is so fine Sheesh Those legs.', 752740602807193600), ('Kelly Rowland my dream woman.', 752739100894064640), ('RT BRAT Kelly Rowland is so fine Sheesh Those legs.', 752742875020922880), ('Photos Kelly Rowland attends BeautyconLA.', 752737781101670400)]","[('Kadeeja Kelly Rowland can have ALL of me.', 752738147549614080)]"
#OddMomOut,"[('The Hamilton actors were on OddMomOut tonight Mind blown.', 752733900510724096), ('The one liners tonight about Hamilton tickets are killing it OddMomOut.', 752741701106577408), ('Seriously the funniest show ever I ve watched the Hamilton episode at least 5 times and my 16 year old daughter loved it too OddMomOut.', 752736647792300032), ('That Uber and Hamilton episode was so good OddMomOut LoveThisShow.', 752738017132027908), ('1st time I saw Hamilton it changed my life I ve seen it twice 2nd time it changed back again Now I need to see it again OddMomOut.', 752742188841201664), ('OddMomOut you don t know this store of Hillary laughing at getting man off of Child rape you better It s Fact.', 752740129454714880), ('I m going to JoyManifesto a million dollars and Hamilton tickets OddMomOut.', 752737926308433920), ('SeanKleier Like love you but man bun has GOT TO GO OddMomOut.', 752735146650931201), ('Tell me about your driving experience I ve seen the movie Speed OddMomOut Bravotv.', 752732259644416000)]","[('All the Hamilton references in tonight s episode of OddMomOut tonight are on point.', 752735382081458176)]"
#SYTYCD,"[('We re speechless The all stars just blew us away SYTYCD.', 752744238190776320), ('This is just the beginning for Tate Such a moving performance tonight SYTYCD.', 752744138102018048), ('J T s personality is as big as his talent What a great solo SYTYCD.', 752744285930303489), ('RETWEET to show your support for Jake SYTYCD.', 752744367681466368), ('RETWEET to show your support for J T SYTYCD.', 752743653680959492), ('RETWEET to show your support for Emma SYTYCD.', 752743734316445696), ('Seriously Mandy Moore nopenother made me cry with this routine What a great performance J T you rock SYTYCD.', 752743927946424320), ('What a haunting performance by our all stars and the Next Generation SYTYCD.', 752744118191697920), ('RETWEET if you re excited to see maddieziegler take her seat at the judges table SYTYCD.', 752744282381914113)]","[('SYTYCD SYTYCD TNG NigelLythgoe PaulaAbdul JasonDeulo CaDeely MaddieZiegler SYTYCDAllStars.', 752744198919581696)]"
Dej Loaf,"[('Dej Loaf and Lil Mama slayed Kim s Crush on You.', 752744109933289472), ('Dej Loaf For Tonight.', 752744082372370432), ('Dej Loaf and Lil Mama performing Lil Kim s Crush On You HipHopHonors.', 752743878751506436), ('RT thaMADhatter Dej Loaf can t rap.', 752744080375947265), ('Dej Loaf highlight is banging.', 752743722400387073), ('Rounds of applause for Teyana Taylor Lil Mama amp DeJ Loaf s Lil Kim Tribute Nailed it HipHopHonors.', 752744098101022721), ('Dej loaf looking scrumptious.', 752743713705562112), ('I love Dej Loaf s style She s a beauty too.', 752743985311911936), ('Why Dej loaf had to come out and Save lil Kim from her own song HipHopHonors.', 752743835151638529)]","[('Dej Loaf is so pretty to me.', 752744044313227264)]"
Smackdown,"[('Plothole 1 How can these superstars be evaluated for the draft when Raw and Smackdown still has no final GM s Raw.', 752743572516974595), ('I believe shanemcmahon has my phone number SmackDown Raw.', 752743996062044160), ('ShaneMcMahon wants to break down the glass ceilings on SmackDown StephMcMahon is not amused RAW.', 752743833562144768), ('My Predictions WWEDraft Raw SmackDown.', 752744071920230400), ('ac RAW SmackDown https.', 752743389288857600), ('Check out my WWE Fantasy Draft roster I promise its interesting WWEDraft Raw SmackDown.', 752743732055683072), ('WWE RAW SmackDown wrestling supershow.', 752743794932678656), ('So it s shanemcmahon and StephMcMahon for Smackdown and RAW Now time to see their Rosters WWE.', 752743306266836992), ('New WWE RAW And SmackDown Commissioners For The Brand Extension Announced.', 752743858346176512)]","[('Check out my WWE Fantasy Draft roster WWEDraft Raw SmackDown.', 752744003217395712)]"
#BrainDead,"[('ok that is NOT what i expected ok wow ok BrainDead.', 752747152418353154), ('01021543560 01021543560 01021543560 01021543560 01021543560 BrainDead.', 752748889392820224), ('Cookies are good BrainDead M E Winstead.', 752752129610289152), ('When you had a good day at work BrainDead thedannypino.', 752748482499411969), ('DCRomance BrainDead M E Winstead.', 752751309451694080), ('Politicians are going BrainDead The Hawthornes have a secret Watch these mysteries unravel FFUS AmericanGothic https.', 752752917027913728), ('E Winstead I want to live tweet tonight s episode but have to be at work at an ungodly hour tomorrow Love u all BrainDead Garolas.', 752747661434945536), ('E Winstead Ready for a new BrainDead tonight Sing along if you need a refresher.', 752750549267873792), ('MARY AND AARON HAVE SUCH GOOD CHEMISTRY I CANT WITH THIS BrainDead.', 752748477210386432)]","[('NEW 254 FOLLOWERS 12Monkeys HipHopHonors Trina HRDerby BrainDead RHOC TheBachelorette IfSelfiesNeverExisted.', 752747094876708864)]"
#SYTYCD,"[('We re speechless The all stars just blew us away SYTYCD.', 752751626956386304), ('Kida s moves are unlike any other SYTYCD.', 752752462092656640), ('Jenna and Jake How do you even compete with that I hear a HotTamaleTrain coming SYTYCD.', 752752911969619968), ('RETWEET to show your support for Tate SYTYCD.', 752752957796474880), ('This is just the beginning for Tate Such a moving performance tonight SYTYCD.', 752753457249918976), ('The top 10 kids take on their first live show as one mentor is replacedour SYTYCD recap.', 752752817719250944), ('RETWEET to show your support for Jordan SYTYCD.', 752753171504607233), ('RETWEET to show your support for J T SYTYCD.', 752751585684434944), ('India will get it s best dancer this weekend Watch SYTYCD Grand Finale with dhishoom Sat Sun AndTV Varun dvn.', 752752840473341952)]","[('I am so fucking excited SYTYCD.', 752751322177220612)]"
Foxy,"[('SF Bebsoulyz YjiaeLyz mijuulyz lvlyzkei myjinlyz sujeongglyz jynlyz cutie foxy here 3.', 752751586749718528), ('Nicki giving props to Foxy Kim Remy Lauryn Missy amp Left Eye HipHopHonors.', 752751782544207872), ('Its drama Kim doesn t like Foxy and if foxy was honored with Kim Kim would ve backed out It s not hard thinking.', 752752539427155968), ('The fact that Foxy was only 17 rapping about commissary and hiding a glock inside her Chanel purse.', 752753276760784897), ('Foxy Brown was really 18 rapping about tricking off men for Range Rovers and diamonds The shock value.', 752752833011732482), ('Found a Transponder Snail Davyback Fight Straw Hats vs Foxy Pirates TreCru.', 752753036888604672), ('Foxy Kim Latifa Brat Lauryn like how fuckin lucky were we n.', 752752853597376512), ('quitfeenin well there u go U just killed ur whole credibility If foxy was that important they would ve still done the show without kim.', 752753053061804032), ('quitfeenin goes to show who s the more valuable player Kim Sorry but foxy was just there No major impact.', 752753189099798528)]","[('XD Foxy sorry no me violes XD OK NO LOL.', 752752179237179393)]"
#UnREALtv,"[('What do you guys think shiriappleby s RACHEL will do when she sees freddiestroma s ADAM again Gotta tune in next week UnREALtv.', 752750483308023808), ('UnRealLifetime please don t tell me Rachel sleeps with Adam upon his return Chet to hurt Quinn while still screwing new guy UnREALtv.', 752752731828486144), ('UnRealLifetime great episode as usual can t wait to see the story unfold next week omg a whole week I could binge this show UnREALtv.', 752753316380147713), ('Following Rachel s emotional trajectory can be so intense Can t say enough how great Shiri Appleby is on this show UnREALtv.', 752750824850206720), ('Look who s back Had to wait until AFTER he shot the pilot for new show TimeAfterABC before we could bring freddiestroma back to UnREALtv.', 752749490063282176), ('I choked with laughter at Adam he looks like he had a perm And the Denim on Denim LOVE IT UnREALtv.', 752750134195286016), ('Boss Mind blowing UnREALtv.', 752751593842315264), ('This Mirror of Truth thing is so stupid UnREALtv.', 752752162254364677), ('I think Quinn could singlehandedly end domestic violence UnREALtv UnRealLifetime.', 752751280922062848)]","[('What reason could they possibly be brining Adam back for Wow the previews for next week look insane UnREALtv amp Jay blaming Rachel.', 752751162231705600)]"
Nicki,"[('Nicki got many crowns.', 752752639390220288), ('Lil Kim fucked herself up trying to compete with Nicki.', 752752596067069953), ('thewondergirIs nicki has waaay tooo many similarities with lil kim.', 752752531458043904), ('I m not obligated to do anything.', 752752652186886144), ('Nicki Minaj is most successful female rapper of all time She writes her own music and to even question her talent at t.', 752752511644209152), ('Everybody living in this generation knows Nicki is the reason hip hop is moving for female rappers amp if they say no the.', 752752881225302016), ('Trust me Without Nicki Minaj there wouldn t be a female rapper category Let them girls learn how to run Rap.', 752752513774919680), ('Nicki Minaj is the most awarded female rapper in ASCAP American Society of Composers Authors amp Publishers history h.', 752752781430231041), ('And when it s all said and done Nicki Minaj is the best selling and the most successful female rapper in history htt.', 752752757300277248)]","[('Samstag Nacht Nicki Schlagergold.', 752752622117986304)]"
#IShouldEatMoreFruit,"[('IShouldEatMoreFruit nom nom nom.', 752751389059719168), ('Mmmm sangria because IShouldEatMoreFruit.', 752750693929390080), ('IShouldEatMoreFruit but I m tired of shaving the peaches.', 752750841396801537), ('IShouldEatMoreFruit because Skittles are not in the fruit group.', 752750317117202436), ('IShouldEatMoreFruit but I just love protein.', 752753171760451584), ('IShouldEatMoreFruit of the loom.', 752752931515068416), ('IShouldEatMoreFruit but your all the vitamin C I need.', 752752314251776001), ('IShouldEatMoreFruit but remember to eat some protein first so the fruit don t irritate the lining of your esophagus and stomach.', 752752154364948480), ('Star4 IShouldEatMoreFruit but hey wine counts as a fruit right.', 752752705613885440)]","[('IShouldEatMoreFruit but I m really picky so I can t.', 752749060004556801)]"
#HipHopHonors,"[('Rounds of applause for Teyana Taylor Lil Mama amp DeJ Loaf s Lil Kim Tribute Nailed it HipHopHonors.', 752752853236609024), ('How u gonna mess up a tribute to a great better yet attempt it NoHonor at the HipHopHonors show.', 752752775591653379), ('Teyana Taylor slayed that Lil Kim tribute HipHopHonors.', 752752747435335681), ('One more time for TEYANATAYLOR killing the HipHopHonors.', 752752846504943616), ('Watch Common pay tribute to Diamond Reynolds at the VH1 HipHopHonors.', 752752774639591424), ('Nailed it We love this LilKim tribute hiphophonors LilKim.', 752752851307401217), ('Common pays tribute to Diamond Reynolds at VH1 HipHopHonors PhilandoCastile.', 752752776803852289), ('Keyshia Cole looking like a goddess HipHopHonors.', 752752854775898112), ('HipHopHonors was maaaaad disorganized and all over the place If u are gonna honor the sisters of hip hop do that right.', 752752786094292992)]","[('She kilt this HipHopHonors tribute to LilKim.', 752752779903561728)]"
Jasmine Sullivan,"[('Jasmine Sullivan is the only option.', 752722727522402304), ('Jasmine Sullivan be sanginnn.', 752730642241073152), ('Who Jasmine Sullivan play for.', 752742398359285762), ('Jasmine sullivan is big ascell.', 752742547378827264), ('Jasmine Sullivan thick ass.', 752742665792393216), ('In Love With Another Man Jasmine Sullivan.', 752747509555064832), ('Jasmine Sullivan is soooooo pretty.', 752742465539637248), ('My God do y all see Jasmine Sullivan.', 752738954332385280), ('They both look bad keyshia Cole and jasmine Sullivan.', 752723307854761984)]","[('Jasmine Sullivan is so bad.', 752749709828190208)]"
#AYTO,"[('Gio you messing up ayto.', 752752172115238912), ('WHY WHY WHY DOES EVERYONE WANT JULIA AYTO.', 752751030920704000), ('AYTO is soooo addicting.', 752752942332186624), ('Currently everyone who watched AYTO.', 752751703754215424), ('Sorry guys Sorry Tori AYTO.', 752750905976434688), ('So much f ckboy behavior this episode AYTO.', 752752824333721600), ('Tori and Kay deserve so much better Gio and Asaf need to get a reality check AYTO AreYouTheOne.', 752750529453883392), ('Why is there always that one girl on every season that every guy thinks is their match ayto ayto4 areyoutheone.', 752751331471859712), ('I need to know if tori amp asaf was a match or not my tv didn t record the end AREUTHE1 AYTO.', 752751757046931456)]","[('Anyways Asaf is lol AYTO.', 752751936714137600)]"
Chanel Iman,"[('Chanel Iman never dissapoints.', 752750256220205056), ('01021543560 01021543560 01021543560 Chanel Iman.', 752744307866546177), ('Chanel iman is gorgeous HipHopHonors.', 752745774333689856), ('Chanel Iman always slays.', 752745902171824129), ('Chanel Iman is hella hot.', 752742023887593476), ('Chanel Iman is beautiful oh my gawd.', 752745661582286849), ('Chanel Iman gt Karrueche Tran.', 752742003666919426), ('Chanel Iman ASAP Rocky s ex gf.', 752745720281694208), ('01021543560 01021543560 01021543560 01021543560 Chanel Iman.', 752752669291220992)]","[('Looks by Chanel Iman.', 752750171570769920)]"
Amber Rose,"[('ha ugh whatever bai amber rose boy bye boi bye.', 752752728263143424), ('cudidee go for that amber rose look.', 752751173539467265), ('PUSH THROUGH Amber Rose Vashtie HipHopHonors DaRealAmberRose.', 752750881108557828), ('New trending GIF tagged ugh whatever bai amber rose boy bye boi bye via Giphy.', 752752700484444160), ('So over Amber Rose and all this Hoe Promo.', 752750690959708160), ('DaRealAmberRose amber rose you look cute.', 752750898279948288), ('Amber Rose flaunts curves at VH1 Hiphophonours.', 752751882414616576), ('Amber Rose flaunts curves at VH1 Hiphop honours.', 752750307671547905), ('gif animation ugh whatever bai amber rose boy bye boi bye.', 752752397433397248)]","[('ugh whatever bai amber rose boy bye boi bye.', 752752598525087744)]"
Monica,"[('que hueva esto verdad.', 752752643366236160), ('No ganas nada siendo asi.', 752752802850435072), ('YA QUIERO TENER 18.', 752752870517141505), ('This giant mob of people on the Santa Monica pier all celebrated catching a dragonair PokemonGO.', 752752898451263488), ('A wonderful photo of Marilyn Monroe on Santa Monica Beach by George Barris shortly before her death in 1962.', 752752877047779328), ('Yes Fantasia amp Monica push through Loving that hat monica HipHopHonors2016.', 752752629059612672), ('RRebolledo75 OscarCorvalan DMatamala tv monica Como responsable de la cartera de Justicia La ministra Javiera Blanco p.', 752752717693681664), ('ta voz te infartas si miras a la dulce o la monica asi.', 752752721862791168), ('Hoy fue la primera vez que Monica probo la salsa de Beln un dia que nunca deber olvidar.', 752752961638375424)]","[('Monica Searchin nowplaying listenlive.', 752753018769203200)]"
Fantasia,"[('Fantasia be killing them folks man Y all know I L O V E some Fantasia.', 752752000647831552), ('It doesn t matter what Fantasia is singing about Fantasia can sing about fried chicken and i m STILL gonna feel Jesus.', 752752810509369344), ('Fantasia concerts be lit pt2.', 752752430845014016), ('Ho aperto la porta alla fantasia e cominciano a intrufolarsi anche sentimenti.', 752752672038608896), ('Si un amigo de ti te confiesa que tiene la fantasia de qu jajajajaja de pronto si.', 752752629160239104), ('Si un amigo de ti te confiesa que tiene la fantasia de que veas como se lo hace otro chico el amor y que seas.', 752751778924490752), ('Fantasia said it best if you don t want me then don t talk to me.', 752751727271632896), ('Listen to Free Yourself by Fantasia on AppleMusic.', 752752361056169984), ('Riuscire a descrivere la gioia che si nasconde nella realt Questa per me la fantasia.', 752751765255225344)]","[('fantasia Track listing for Fantasia TasiasWord TheDefinitionOf album Headphonesoverhuman.', 752752180059262980)]"
Terry Crews,"[('Terry Crews did this and then immediately struck out on 3 pitches.', 752749632980213760), ('Sports 47 yr old Terry Crews.', 752751559050604544), ('alyciakoerner It s called being Terry Crews.', 752748896753950720), ('Terry Crews is a Greek god.', 752751429995991042), ('01021543560 01021543560 Terry Crews.', 752751690676187136), ('KrutayaKrasiva IMA FIND U A TERRY CREWS.', 752751551035219968), ('Terry Crews prove the hardist thing 2 do in sports is hit a beisbol.', 752748646370676736), ('Terry Crews proving that steroids don t help in baseball at fucking all.', 752747683702505472)]","[('It s called being Terry Crews.', 752752990080016384)]"
#ShawnOnFallon,"[('shawnonfallon I m so proud.', 752752850342731780), ('amazing as always ShawnOnFallon.', 752752115802451968), ('He kills me ShawnOnFallon.', 752752253207973888), ('He killed it as always ShawnOnFallon.', 752751144343048192), ('ShawnOnFallon always proud of you ShawnMendes.', 752750546155630593), ('BLESS OML ShawnMendes ShawnOnFallon.', 752747702274838528), ('This is goals ShawnOnFallon SocialMediaKing ShawnMendes camerondallas shameron.', 752748091833331712), ('Cool shots taken during Shawn s performance on FallonTonight ShawnOnFallon.', 752752515586850816), ('YES SHAWN MY BABY ShawnOnFallon.', 752752206214860800)]","[('he killed it ShawnOnFallon.', 752751455149359105)]"
Keyshia Cole,"[('Keyshia Cole is so gorgeous.', 752752865807044608), ('Keyshia Cole called haself an R amp B legend.', 752752763436724224), ('Keyshia Cole looking like a goddess HipHopHonors.', 752752965249667073), ('Did Keyshia Cole just call herself an R amp B legend HipHopHonors.', 752752351237156864), ('Y all hate confidence so much Keyshia Cole is a legend.', 752752024836382721), ('When Keyshia Cole tried to slide that joke in HipHopHonors.', 752752591776481280), ('Keyshia Cole still fine.', 752752798815559680), ('Keyshia Cole x You Complete Me.', 752752657866055681), ('Keyshia Cole x Fallin Out.', 752752545085263872)]","[('What Keyshia Cole do lmao.', 752752509903601664)]"
Lyfe Jennings,"[('RT Tay Torrez Omgawd noooo LMAO why Lyfe Jennings play Karlie Redd like that LHHATL.', 752752960434823169), ('fleezus KandyDang LMAO why Lyfe Jennings play Karlie Redd like that LHHATL this shit rots brains.', 752752890276642817), ('RT DestinyJadai I m still laughing at how hard Lyfe Jennings played Karlie.', 752752902985379840)]","[('LMAO why Lyfe Jennings play Karlie Redd like that LHHATL.', 752753209932783616)]"
Keke Palmer,"[('Keke Palmer looks like future and ASAP rockys child.', 752751782393151488), ('Bring It On Director amp Writer Like The Idea Of a Reboot Starring Keke Palmer blackcelebriti.', 752752280366034945), ('how did keke palmer come from this to morphing into quavo from the migos.', 752750049944334336), ('Latrina I love KeKe Palmer because she is herself She don t care what anyone thinks of her She don t let nothing get to her.', 752751289029709824), ('popular keke Palmer outchea looking like Quavo BMB.', 752752069703073792), ('I m finna DM KeKe Palmer just to see if she ll go.', 752752592887828480), ('Keke Palmer Said All Lives Matter Condemned Ferguson protesters Cherry picked an MLK quote to condemn them https.', 752751824122241024)]","[('Keke Palmer We Can Make Up.', 752751603799715841)]"
#IfSelfiesNeverExisted,"[('IfSelfiesNeverExisted She would not pray as she took a selfie.', 752752860262195201), ('IfSelfiesNeverExisted I would have to request random people to take my picture.', 752752780700479488), ('IfSelfiesNeverExisted 99 of people who are insta famous would have no purpose.', 752752659472322560), ('Ifselfiesneverexisted We would never see the inside of a bathroom again when we weren t in it.', 752752851114336256), ('IfSelfiesNeverExisted the world would still be using Nokia phones or bricks.', 752752762488655872), ('IfSelfiesNeverExisted this is what duck face would still mean DaffyDuck.', 752752692775321600), ('IfSelfiesNeverExisted what good would be front camera.', 752752358162067456), ('IfSelfiesNeverExisted people would be forced to have a good time instead of taking a picture pretending they were having fun.', 752752734718136320), ('IfSelfiesNeverExisted a photo of yourself would still be called a self portrait and language wouldn t have to cry its.', 752752633643880449)]","[('IfSelfiesNeverExisted there would be no instagram.', 752752717651648512)]"
Omari Hardwick,"[('01021543560 01021543560 Omari Hardwick.', 752748326362034176), ('RT AnishaD Omari Hardwick.', 752743721700061184), ('Omari Hardwick know he fine.', 752746341445623808), ('Omari Hardwick is a blessing.', 752746584689872897), ('Can t wait to see Omari Hardwick Power.', 752731732500066304), ('Omari Hardwick where have you been all my life.', 752742840099188744), ('The things I d do to Omari Hardwick.', 752746416854953984)]","[('Omari Hardwick HipHopHonors.', 752726950246903808)]"
Get Money,"[('Quote of the day 1st get the money then u get the power then you get the woman Al pacino.', 752752889160986625), ('You gotta be money conscious to make money learn the language of money and get that shit.', 752752957200883713), ('idk how people have time for all this fun stuff in the summer where r ur responsibilities how do u get money do u n.', 752752802628300800), ('RT CollegeHumor idk how people have time for all this fun stuff in the summer where r ur responsibilities how do u get money do u.', 752752855522480128), ('you get u sum money u get u some fame these niggas gon come out the blue.', 752752962137501696), ('me i need to save money and get more hours at work work u can go home early if u wa me.', 752752982492524548), ('Stop tryna impress these Lil get money niggas if they see u they gon see u if they fuc wit u they gon fuc wit u period.', 752752983582994432), ('Here is my prediction Big Sam won t get the England job will get a new SAFC contract and be given money to spend to stay.', 752752922216239104), ('gl EASY GL easy skins Free money code easygl Visit the site invite your friends and get money for it.', 752752793119657989)]","[('idk how people have time for all this fun stuff in the summer where r ur responsibilities how do u get money do u.', 752752820332425216)]"
#12Monkeys,"[('this is exactly where we re supposed to be 12monkeys.', 752752152649478145), ('Sarah White 77 eurasianjes pirategirljack Man ladies love the bad boys 12Monkeys.', 752753524023431168), ('Sarah White 77 eurasianjes pirategirljack O I mean as a rescue team not the Witness 12Monkeys.', 752751232003997696), ('pirategirljack Sarah White 77 eurasianjes Sounds like boy Sam to me 12Monkeys.', 752753387461025792), ('Sarah White 77 cabinboy100 eurasianjes Then you d be Jones 12Monkeys.', 752753380460793857), ('cabinboy100 Sarah White 77 eurasianjes Immortality won t work in the end I think 12Monkeys.', 752753176487559168), ('Sarah White 77 eurasianjes pirategirljack At the end of Hyena Back at the hotel 12Monkeys.', 752751663186898944), ('Sarah White 77 pirategirljack eurasianjes Or maybe they re all the people who have ever been caught in a paradox 12Monkeys.', 752753289331085312), ('Sarah White 77 cabinboy100 eurasianjes We know so little about their hierarchy Can we trust anything we think we know 12Monkeys.', 752753034791354368)]","[('pirategirljack cabinboy100 eurasianjes here 12Monkeys.', 752752391850786816)]"
#HRDerby,"[('Oooo coreyseager 5 HRDerby.', 752752818251968513), ('WHAT A NIGHT HRDerby.', 752752822060396546), ('Giancarlo Stanton 61 HR in HRDerby 61 is a famous number in MLB history Roger Maris hit 61 HR in 1961 to break Babe.', 752752844193746944), ('The one you ll see in highlight reels every year 497 feet TMobile HRDerby.', 752752811704659968), ('Giancarlo Stanton wins the 2016 HRDerby 1st Marlins player to win the event.', 752752828943249412), ('When all you can do is stare in awe HRDerby.', 752752757249978368), ('Marlins slugger Giancarlo818 smashes a record 61 total HR to win the tmobile HRDerby htt.', 752752649263419392), ('Ever any doubt Giancarlo818 is your TMobile HRDerby winner and an absolute LEGEND.', 752752544397484033), ('No one ever hit a ball off the scoreboard at Petco Park Until now tmobile HRDerby.', 752752420489302017)]","[('Who ya got HRDerby.', 752752362566086656)]"
